category,instance_path
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_1683
IfcPipeSegment,H:\BIMCompNet\OfficeBuilding\IfcPipeSegment\8_IfcPipeSegment_16918
IfcSlab,H:\BIMCompNet\School\IfcSlab\11_IfcSlab_2662
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_76380
IfcWall,H:\BIMCompNet\Malls\IfcWallStandardCase\5_IfcWallStandardCase_9624
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_1421
IfcCurtainWall,H:\BIMCompNet\Hotels\IfcCurtainWall\3_IfcCurtainWall_58
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_18639
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_706
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_1002
IfcBeam,H:\BIMCompNet\Metro\IfcBeam\6_IfcBeam_823
IfcCurtainWall,H:\BIMCompNet\Hotels\IfcCurtainWall\3_IfcCurtainWall_460
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_2426
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_4970
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_3608
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_11414
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_13729
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_1661
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_127
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_7147
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_408
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_1402
IfcStairFlight,H:\BIMCompNet\Metro\IfcStairFlight\6_IfcStairFlight_142
IfcDuctSegment,H:\BIMCompNet\School\IfcDuctSegment\11_IfcDuctSegment_3213
IfcWall,H:\BIMCompNet\ResidentialBuilding\IfcWall\10_IfcWall_1034
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_13885
IfcColumn,H:\BIMCompNet\Metro\IfcColumn\6_IfcColumn_1023
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_62425
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_446
IfcPipeFitting,H:\BIMCompNet\Metro\IfcPipeFitting\6_IfcPipeFitting_2112
IfcCurtainWall,H:\BIMCompNet\Hotels\IfcCurtainWall\3_IfcCurtainWall_397
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_1852
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_1433
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_873
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_3721
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_6809
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_8459
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_1573
IfcRailing,H:\BIMCompNet\School\IfcRailing\11_IfcRailing_502
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_4609
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_491
IfcStairFlight,H:\BIMCompNet\School\IfcStairFlight\11_IfcStairFlight_517
IfcWall,H:\BIMCompNet\Metro\IfcWall\6_IfcWall_1766
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_110
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_730
IfcWall,H:\BIMCompNet\Hotels\IfcWall\3_IfcWall_10456
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_4694
IfcWall,H:\BIMCompNet\Metro\IfcWall\6_IfcWall_4781
IfcDuctFitting,H:\BIMCompNet\School\IfcDuctFitting\11_IfcDuctFitting_156
IfcDuctSegment,H:\BIMCompNet\School\IfcDuctSegment\11_IfcDuctSegment_4266
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_32500
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_2550
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_732
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1420
IfcPipeSegment,H:\BIMCompNet\FactoryBuilding\IfcPipeSegment\1_IfcPipeSegment_2744
IfcCurtainWall,H:\BIMCompNet\Malls\IfcCurtainWall\5_IfcCurtainWall_687
IfcRailing,H:\BIMCompNet\Malls\IfcRailing\5_IfcRailing_183
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_102
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_2592
IfcCableCarrierFitting,H:\BIMCompNet\Theater\IfcCableCarrierFitting\12_IfcCableCarrierFitting_341
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_3393
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_3026
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_2524
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_470
IfcColumn,H:\BIMCompNet\Theater\IfcColumn\12_IfcColumn_5012
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_1343
IfcCableCarrierFitting,H:\BIMCompNet\Hotels\IfcCableCarrierFitting\3_IfcCableCarrierFitting_552
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_6940
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1679
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_6795
IfcDuctFitting,H:\BIMCompNet\EquipmentRoom\IfcDuctFitting\0_IfcDuctFitting_986
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_10553
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_20621
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_7124
IfcPipeFitting,H:\BIMCompNet\ResidentialBuilding\IfcPipeFitting\10_IfcPipeFitting_752
IfcWall,H:\BIMCompNet\Theater\IfcWall\12_IfcWall_6798
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_4456
IfcWall,H:\BIMCompNet\School\IfcWall\11_IfcWall_5732
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_6674
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_2134
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_5577
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_1155
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_10389
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_5803
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_4634
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_3598
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_2594
IfcCableCarrierSegment,H:\BIMCompNet\Malls\IfcCableCarrierSegment\5_IfcCableCarrierSegment_1723
IfcDuctSegment,H:\BIMCompNet\PublicBuilding\IfcDuctSegment\9_IfcDuctSegment_8062
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_406
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_1723
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_25185
IfcColumn,H:\BIMCompNet\EquipmentRoom\IfcColumn\0_IfcColumn_35
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_418
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_7082
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_10730
IfcDuctFitting,H:\BIMCompNet\Hotels\IfcDuctFitting\3_IfcDuctFitting_1018
IfcBeam,H:\BIMCompNet\OfficeBuilding\IfcBeam\8_IfcBeam_1871
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_6147
IfcCableCarrierFitting,H:\BIMCompNet\FactoryBuilding\IfcCableCarrierFitting\1_IfcCableCarrierFitting_35
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_939
IfcCurtainWall,H:\BIMCompNet\School\IfcCurtainWall\11_IfcCurtainWall_364
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_12809
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_75
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_228
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_1180
IfcPipeFitting,H:\BIMCompNet\Malls\IfcPipeFitting\5_IfcPipeFitting_2373
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_125
IfcStairFlight,H:\BIMCompNet\Hospital\IfcStairFlight\2_IfcStairFlight_5
IfcCurtainWall,H:\BIMCompNet\OfficeBuilding\IfcCurtainWall\8_IfcCurtainWall_271
IfcPipeSegment,H:\BIMCompNet\PublicBuilding\IfcPipeSegment\9_IfcPipeSegment_18797
IfcDuctFitting,H:\BIMCompNet\EquipmentRoom\IfcDuctFitting\0_IfcDuctFitting_844
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_156
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_517
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_29208
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_2519
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_4049
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_9506
IfcBeam,H:\BIMCompNet\OfficeBuilding\IfcBeam\8_IfcBeam_25506
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_5289
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_17958
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_64934
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_13317
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_3566
IfcColumn,H:\BIMCompNet\Theater\IfcColumn\12_IfcColumn_1766
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_788
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_3571
IfcWall,H:\BIMCompNet\Malls\IfcWall\5_IfcWall_12187
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_4746
IfcPipeSegment,H:\BIMCompNet\FactoryBuilding\IfcPipeSegment\1_IfcPipeSegment_1555
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_7551
IfcWall,H:\BIMCompNet\ResidentialBuilding\IfcWall\10_IfcWall_4762
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_1033
IfcRailing,H:\BIMCompNet\FactoryBuilding\IfcRailing\1_IfcRailing_257
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_2653
IfcColumn,H:\BIMCompNet\Hospital\IfcColumn\2_IfcColumn_5030
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_5564
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_4979
IfcSlab,H:\BIMCompNet\Malls\IfcSlab\5_IfcSlab_5895
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_13698
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1826
IfcCurtainWall,H:\BIMCompNet\Malls\IfcCurtainWall\5_IfcCurtainWall_1151
IfcPipeSegment,H:\BIMCompNet\Malls\IfcPipeSegment\5_IfcPipeSegment_34600
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_4357
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_2353
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_31115
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_3087
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_1120
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_25379
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1591
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_6851
IfcPipeFitting,H:\BIMCompNet\EquipmentRoom\IfcPipeFitting\0_IfcPipeFitting_2077
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_1677
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_10834
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_3278
IfcCableCarrierFitting,H:\BIMCompNet\School\IfcCableCarrierFitting\11_IfcCableCarrierFitting_238
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_1044
IfcCableCarrierSegment,H:\BIMCompNet\PublicBuilding\IfcCableCarrierSegment\9_IfcCableCarrierSegment_6346
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_2322
IfcPipeFitting,H:\BIMCompNet\OfficeBuilding\IfcPipeFitting\8_IfcPipeFitting_1487
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_59696
IfcSlab,H:\BIMCompNet\Malls\IfcSlab\5_IfcSlab_3257
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_22135
IfcPipeFitting,H:\BIMCompNet\Malls\IfcPipeFitting\5_IfcPipeFitting_1114
IfcWall,H:\BIMCompNet\School\IfcWall\11_IfcWall_13539
IfcCableCarrierSegment,H:\BIMCompNet\PublicBuilding\IfcCableCarrierSegment\9_IfcCableCarrierSegment_1314
IfcCableCarrierFitting,H:\BIMCompNet\EquipmentRoom\IfcCableCarrierFitting\0_IfcCableCarrierFitting_857
IfcPipeSegment,H:\BIMCompNet\FactoryBuilding\IfcPipeSegment\1_IfcPipeSegment_1720
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_1218
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_492
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_3177
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_531
IfcColumn,H:\BIMCompNet\Layout\IfcColumn\4_IfcColumn_1271
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_486
IfcColumn,H:\BIMCompNet\PublicBuilding\IfcColumn\9_IfcColumn_645
IfcWall,H:\BIMCompNet\ResidentialBuilding\IfcWall\10_IfcWall_2736
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_6590
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_7559
IfcPipeFitting,H:\BIMCompNet\EquipmentRoom\IfcPipeFitting\0_IfcPipeFitting_1035
IfcSlab,H:\BIMCompNet\ResidentialBuilding\IfcSlab\10_IfcSlab_252
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_38192
IfcPipeSegment,H:\BIMCompNet\OfficeBuilding\IfcPipeSegment\8_IfcPipeSegment_1285
IfcColumn,H:\BIMCompNet\Layout\IfcColumn\4_IfcColumn_928
IfcPipeFitting,H:\BIMCompNet\EquipmentRoom\IfcPipeFitting\0_IfcPipeFitting_395
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_3244
IfcRailing,H:\BIMCompNet\FactoryBuilding\IfcRailing\1_IfcRailing_266
IfcSlab,H:\BIMCompNet\Malls\IfcSlab\5_IfcSlab_3238
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_4048
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_3426
IfcBeam,H:\BIMCompNet\Villa\IfcBeam\13_IfcBeam_1250
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_13114
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_104685
IfcColumn,H:\BIMCompNet\Hospital\IfcColumn\2_IfcColumn_5713
IfcCurtainWall,H:\BIMCompNet\Theater\IfcCurtainWall\12_IfcCurtainWall_91
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_2907
IfcDuctSegment,H:\BIMCompNet\PublicBuilding\IfcDuctSegment\9_IfcDuctSegment_9669
IfcWall,H:\BIMCompNet\Metro\IfcWall\6_IfcWall_4496
IfcPipeFitting,H:\BIMCompNet\School\IfcPipeFitting\11_IfcPipeFitting_970
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_7591
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1751
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_257
IfcDuctSegment,H:\BIMCompNet\Theater\IfcDuctSegment\12_IfcDuctSegment_4090
IfcStairFlight,H:\BIMCompNet\OfficeBuilding\IfcStairFlight\8_IfcStairFlight_485
IfcStairFlight,H:\BIMCompNet\Metro\IfcStairFlight\6_IfcStairFlight_180
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_5403
IfcCurtainWall,H:\BIMCompNet\Hotels\IfcCurtainWall\3_IfcCurtainWall_615
IfcCableCarrierFitting,H:\BIMCompNet\Malls\IfcCableCarrierFitting\5_IfcCableCarrierFitting_711
IfcBeam,H:\BIMCompNet\School\IfcBeam\11_IfcBeam_11644
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_2315
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_5986
IfcCurtainWall,H:\BIMCompNet\Malls\IfcCurtainWall\5_IfcCurtainWall_913
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_2680
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_11455
IfcPipeSegment,H:\BIMCompNet\Metro\IfcPipeSegment\6_IfcPipeSegment_18322
IfcStairFlight,H:\BIMCompNet\OfficeBuilding\IfcStairFlight\8_IfcStairFlight_388
IfcBeam,H:\BIMCompNet\OfficeBuilding\IfcBeam\8_IfcBeam_5215
IfcRailing,H:\BIMCompNet\Layout\IfcRailing\4_IfcRailing_12
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_9825
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_10066
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_15118
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_5760
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_1695
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_3888
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_139518
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_5992
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_9731
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_84829
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_1
IfcWall,H:\BIMCompNet\Hospital\IfcWall\2_IfcWall_145
IfcSlab,H:\BIMCompNet\School\IfcSlab\11_IfcSlab_1112
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_4170
IfcWall,H:\BIMCompNet\Malls\IfcWall\5_IfcWall_1549
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_358
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_2871
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_469
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_1815
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_1759
IfcPipeFitting,H:\BIMCompNet\ResidentialBuilding\IfcPipeFitting\10_IfcPipeFitting_1076
IfcStairFlight,H:\BIMCompNet\EquipmentRoom\IfcStairFlight\0_IfcStairFlight_21
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1501
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_1968
IfcStairFlight,H:\BIMCompNet\OfficeBuilding\IfcStairFlight\8_IfcStairFlight_928
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_26231
IfcPipeSegment,H:\BIMCompNet\Hospital\IfcPipeSegment\2_IfcPipeSegment_39757
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_8514
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_13538
IfcColumn,H:\BIMCompNet\Theater\IfcColumn\12_IfcColumn_2695
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_2149
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_54
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_3673
IfcCableCarrierSegment,H:\BIMCompNet\EquipmentRoom\IfcCableCarrierSegment\0_IfcCableCarrierSegment_6278
IfcCableCarrierFitting,H:\BIMCompNet\Hotels\IfcCableCarrierFitting\3_IfcCableCarrierFitting_263
IfcCableCarrierSegment,H:\BIMCompNet\Malls\IfcCableCarrierSegment\5_IfcCableCarrierSegment_204
IfcCurtainWall,H:\BIMCompNet\PublicBuilding\IfcCurtainWall\9_IfcCurtainWall_36
IfcColumn,H:\BIMCompNet\Malls\IfcColumn\5_IfcColumn_2872
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_13736
IfcWall,H:\BIMCompNet\Hospital\IfcWall\2_IfcWall_4297
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_22780
IfcColumn,H:\BIMCompNet\Villa\IfcColumn\13_IfcColumn_89
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_8237
IfcStairFlight,H:\BIMCompNet\FactoryBuilding\IfcStairFlight\1_IfcStairFlight_151
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_3467
IfcCovering,H:\BIMCompNet\School\IfcCovering\11_IfcCovering_482
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_1965
IfcCurtainWall,H:\BIMCompNet\FactoryBuilding\IfcCurtainWall\1_IfcCurtainWall_30
IfcBeam,H:\BIMCompNet\Hospital\IfcBeam\2_IfcBeam_13019
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_27499
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_1192
