category,instance_path
IfcValve,H:\BIMCompNet\Theater\IfcValve\12_IfcValve_40
IfcRoof,H:\BIMCompNet\Villa\IfcRoof\13_IfcRoof_61
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_372
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_33627
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_7025
IfcDuctSilencer,H:\BIMCompNet\Metro\IfcDuctSilencer\6_IfcDuctSilencer_183
IfcEnergyConversionDevice,H:\BIMCompNet\School\IfcCoil\11_IfcCoil_16
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_2708
IfcCableCarrierSegment,H:\BIMCompNet\Hotels\IfcCableCarrierSegment\3_IfcCableCarrierSegment_437
IfcFlowMovingDevice,H:\BIMCompNet\Hospital\IfcFlowMovingDevice\2_IfcFlowMovingDevice_62
IfcColumn,H:\BIMCompNet\Layout\IfcColumn\4_IfcColumn_985
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_145
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_27
IfcCableCarrierSegment,H:\BIMCompNet\EquipmentRoom\IfcCableCarrierSegment\0_IfcCableCarrierSegment_1917
IfcDuctFitting,H:\BIMCompNet\School\IfcDuctFitting\11_IfcDuctFitting_793
IfcRailing,H:\BIMCompNet\Metro\IfcRailing\6_IfcRailing_10
IfcFlowMovingDevice,H:\BIMCompNet\School\IfcFlowMovingDevice\11_IfcFlowMovingDevice_55
IfcStairFlight,H:\BIMCompNet\Villa\IfcStairFlight\13_IfcStairFlight_89
IfcPipeFitting,H:\BIMCompNet\EquipmentRoom\IfcPipeFitting\0_IfcPipeFitting_3551
IfcDuctSilencer,H:\BIMCompNet\School\IfcDuctSilencer\11_IfcDuctSilencer_24
IfcFlowMovingDevice,H:\BIMCompNet\PublicBuilding\IfcFlowMovingDevice\9_IfcFlowMovingDevice_15
IfcRamp,H:\BIMCompNet\OfficeBuilding\IfcRamp\8_IfcRamp_48
IfcStair,H:\BIMCompNet\School\IfcStair\11_IfcStair_112
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_11930
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_2226
IfcDoor,H:\BIMCompNet\Metro\IfcDoor\6_IfcDoor_51
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_995
IfcCableCarrierSegment,H:\BIMCompNet\Metro\IfcCableCarrierSegment\6_IfcCableCarrierSegment_17366
IfcDuctSegment,H:\BIMCompNet\Hospital\IfcDuctSegment\2_IfcDuctSegment_29246
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_217
IfcCableCarrierSegment,H:\BIMCompNet\OfficeBuilding\IfcCableCarrierSegment\8_IfcCableCarrierSegment_2275
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_18457
IfcStairFlight,H:\BIMCompNet\Malls\IfcStairFlight\5_IfcStairFlight_123
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_88
IfcWall,H:\BIMCompNet\OfficeBuilding\IfcWall\8_IfcWall_27211
IfcAirTerminal,H:\BIMCompNet\Metro\IfcAirTerminal\6_IfcAirTerminal_135
IfcStair,H:\BIMCompNet\School\IfcStair\11_IfcStair_207
IfcDuctSegment,H:\BIMCompNet\Hotels\IfcDuctSegment\3_IfcDuctSegment_1866
IfcPipeFitting,H:\BIMCompNet\Metro\IfcPipeFitting\6_IfcPipeFitting_228
IfcMember,H:\BIMCompNet\Metro\IfcMember\6_IfcMember_166
IfcCurtainWall,H:\BIMCompNet\PublicBuilding\IfcCurtainWall\9_IfcCurtainWall_80
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcEnergyConversionDevice\2_IfcEnergyConversionDevice_52
IfcFlowController,H:\BIMCompNet\Metro\IfcFlowController\6_IfcFlowController_29
IfcBeam,H:\BIMCompNet\School\IfcBeam\11_IfcBeam_11939
IfcPipeSegment,H:\BIMCompNet\PublicBuilding\IfcPipeSegment\9_IfcPipeSegment_30465
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_7034
IfcDuctSilencer,H:\BIMCompNet\School\IfcDuctSilencer\11_IfcDuctSilencer_27
IfcPipeSegment,H:\BIMCompNet\PublicBuilding\IfcPipeSegment\9_IfcPipeSegment_28842
IfcValve,H:\BIMCompNet\Metro\IfcValve\6_IfcValve_214
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_210
IfcPlate,H:\BIMCompNet\Hospital\IfcPlate\2_IfcPlate_3
IfcCableCarrierSegment,H:\BIMCompNet\PublicBuilding\IfcCableCarrierSegment\9_IfcCableCarrierSegment_2194
IfcStair,H:\BIMCompNet\OfficeBuilding\IfcStair\8_IfcStair_8
IfcPipeFitting,H:\BIMCompNet\ResidentialBuilding\IfcPipeFitting\10_IfcPipeFitting_988
IfcWindow,H:\BIMCompNet\OfficeBuilding\IfcWindow\8_IfcWindow_164
IfcEnergyConversionDevice,H:\BIMCompNet\EquipmentRoom\IfcHeatExchanger\0_IfcHeatExchanger_8
IfcCovering,H:\BIMCompNet\Hospital\IfcCovering\2_IfcCovering_245
IfcStairFlight,H:\BIMCompNet\School\IfcStairFlight\11_IfcStairFlight_506
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_13329
IfcPlate,H:\BIMCompNet\OfficeBuilding\IfcPlate\8_IfcPlate_165
IfcAirTerminal,H:\BIMCompNet\Metro\IfcAirTerminal\6_IfcAirTerminal_15
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcEnergyConversionDevice\2_IfcEnergyConversionDevice_6
IfcDuctSegment,H:\BIMCompNet\School\IfcDuctSegment\11_IfcDuctSegment_7970
IfcRoof,H:\BIMCompNet\ResidentialBuilding\IfcRoof\10_IfcRoof_20
IfcDuctSegment,H:\BIMCompNet\EquipmentRoom\IfcDuctSegment\0_IfcDuctSegment_13638
IfcWall,H:\BIMCompNet\School\IfcWall\11_IfcWall_3715
IfcSlab,H:\BIMCompNet\School\IfcSlab\11_IfcSlab_6208
IfcElementComponent,H:\BIMCompNet\Metro\IfcDiscreteAccessory\6_IfcDiscreteAccessory_10
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_5913
IfcCableCarrierFitting,H:\BIMCompNet\EquipmentRoom\IfcCableCarrierFitting\0_IfcCableCarrierFitting_12
IfcMember,H:\BIMCompNet\Villa\IfcMember\13_IfcMember_3
IfcMember,H:\BIMCompNet\Metro\IfcMember\6_IfcMember_2
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_2427
IfcAirTerminal,H:\BIMCompNet\Hospital\IfcAirTerminal\2_IfcAirTerminal_215
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_6492
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_2365
IfcDamper,H:\BIMCompNet\OfficeBuilding\IfcDamper\8_IfcDamper_200
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_11682
IfcFooting,H:\BIMCompNet\School\IfcFooting\11_IfcFooting_287
IfcFlowMovingDevice,H:\BIMCompNet\OfficeBuilding\IfcFlowMovingDevice\8_IfcFlowMovingDevice_36
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_593
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_3785
IfcFlowMovingDevice,H:\BIMCompNet\FactoryBuilding\IfcFlowMovingDevice\1_IfcFlowMovingDevice_3
IfcSlab,H:\BIMCompNet\Hospital\IfcSlab\2_IfcSlab_6556
IfcEnergyConversionDevice,H:\BIMCompNet\EquipmentRoom\IfcCoil\0_IfcCoil_1
IfcDuctSegment,H:\BIMCompNet\Metro\IfcDuctSegment\6_IfcDuctSegment_2149
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_928
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_1509
IfcFlowController,H:\BIMCompNet\Metro\IfcFlowController\6_IfcFlowController_208
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_699
IfcDuctSegment,H:\BIMCompNet\Malls\IfcDuctSegment\5_IfcDuctSegment_2978
IfcSanitaryTerminal,H:\BIMCompNet\Metro\IfcSanitaryTerminal\6_IfcSanitaryTerminal_26
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_1563
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1502
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_1811
IfcSanitaryTerminal,H:\BIMCompNet\Malls\IfcSanitaryTerminal\5_IfcSanitaryTerminal_312
IfcBeam,H:\BIMCompNet\ResidentialBuilding\IfcBeam\10_IfcBeam_2535
IfcAirTerminal,H:\BIMCompNet\OfficeBuilding\IfcAirTerminal\8_IfcAirTerminal_196
IfcPlate,H:\BIMCompNet\FactoryBuilding\IfcPlate\1_IfcPlate_53
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_2668
IfcDoor,H:\BIMCompNet\Theater\IfcDoor\12_IfcDoor_22
IfcRamp,H:\BIMCompNet\OfficeBuilding\IfcRamp\8_IfcRamp_162
IfcElementComponent,H:\BIMCompNet\FactoryBuilding\IfcDiscreteAccessory\1_IfcDiscreteAccessory_35
IfcCurtainWall,H:\BIMCompNet\School\IfcCurtainWall\11_IfcCurtainWall_111
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_832
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_2396
IfcDoor,H:\BIMCompNet\Hospital\IfcDoor\2_IfcDoor_177
IfcPipeSegment,H:\BIMCompNet\EquipmentRoom\IfcPipeSegment\0_IfcPipeSegment_55490
IfcStair,H:\BIMCompNet\Malls\IfcStair\5_IfcStair_508
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_262
IfcRailing,H:\BIMCompNet\School\IfcRailing\11_IfcRailing_185
IfcStairFlight,H:\BIMCompNet\Hospital\IfcStairFlight\2_IfcStairFlight_100
IfcWindow,H:\BIMCompNet\Hospital\IfcWindow\2_IfcWindow_359
IfcStair,H:\BIMCompNet\Hospital\IfcStair\2_IfcStair_88
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_169
IfcPlate,H:\BIMCompNet\OfficeBuilding\IfcPlate\8_IfcPlate_127
IfcCableCarrierFitting,H:\BIMCompNet\PublicBuilding\IfcCableCarrierFitting\9_IfcCableCarrierFitting_2309
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_16397
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_3816
IfcFooting,H:\BIMCompNet\School\IfcFooting\11_IfcFooting_4
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_541
IfcSanitaryTerminal,H:\BIMCompNet\OfficeBuilding\IfcSanitaryTerminal\8_IfcSanitaryTerminal_92
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_4117
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_7190
IfcSanitaryTerminal,H:\BIMCompNet\Metro\IfcSanitaryTerminal\6_IfcSanitaryTerminal_18
IfcWindow,H:\BIMCompNet\Hospital\IfcWindow\2_IfcWindow_117
IfcWindow,H:\BIMCompNet\Hospital\IfcWindow\2_IfcWindow_84
IfcDuctSegment,H:\BIMCompNet\School\IfcDuctSegment\11_IfcDuctSegment_26
IfcPipeFitting,H:\BIMCompNet\Metro\IfcPipeFitting\6_IfcPipeFitting_2790
IfcCovering,H:\BIMCompNet\Hotels\IfcCovering\3_IfcCovering_3137
IfcDoor,H:\BIMCompNet\OfficeBuilding\IfcDoor\8_IfcDoor_508
IfcFlowMovingDevice,H:\BIMCompNet\Hospital\IfcFlowMovingDevice\2_IfcFlowMovingDevice_11
IfcFooting,H:\BIMCompNet\OfficeBuilding\IfcFooting\8_IfcFooting_124
IfcDoor,H:\BIMCompNet\Villa\IfcDoor\13_IfcDoor_101
IfcPlate,H:\BIMCompNet\OfficeBuilding\IfcPlate\8_IfcPlate_240
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_4061
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_630
IfcCableCarrierSegment,H:\BIMCompNet\PublicBuilding\IfcCableCarrierSegment\9_IfcCableCarrierSegment_4378
IfcRoof,H:\BIMCompNet\Layout\IfcRoof\4_IfcRoof_278
IfcPipeFitting,H:\BIMCompNet\OfficeBuilding\IfcPipeFitting\8_IfcPipeFitting_318
IfcFlowMovingDevice,H:\BIMCompNet\Theater\IfcFlowMovingDevice\12_IfcFlowMovingDevice_47
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_683
IfcWindow,H:\BIMCompNet\OfficeBuilding\IfcWindow\8_IfcWindow_270
IfcDuctSilencer,H:\BIMCompNet\Metro\IfcDuctSilencer\6_IfcDuctSilencer_172
IfcAirTerminal,H:\BIMCompNet\School\IfcAirTerminal\11_IfcAirTerminal_20
IfcDamper,H:\BIMCompNet\Hospital\IfcDamper\2_IfcDamper_268
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcCoil\2_IfcCoil_6
IfcFooting,H:\BIMCompNet\Theater\IfcFooting\12_IfcFooting_132
IfcWindow,H:\BIMCompNet\Hospital\IfcWindow\2_IfcWindow_149
IfcStairFlight,H:\BIMCompNet\Theater\IfcStairFlight\12_IfcStairFlight_45
IfcPlate,H:\BIMCompNet\Metro\IfcPlate\6_IfcPlate_338
IfcEnergyConversionDevice,H:\BIMCompNet\Malls\IfcCoil\5_IfcCoil_3
IfcFlowMovingDevice,H:\BIMCompNet\FactoryBuilding\IfcPump\1_IfcPump_29
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_103
IfcEnergyConversionDevice,H:\BIMCompNet\Metro\IfcEnergyConversionDevice\6_IfcEnergyConversionDevice_57
IfcSanitaryTerminal,H:\BIMCompNet\Theater\IfcSanitaryTerminal\12_IfcSanitaryTerminal_4
IfcRoof,H:\BIMCompNet\Metro\IfcRoof\6_IfcRoof_9
IfcCurtainWall,H:\BIMCompNet\Metro\IfcCurtainWall\6_IfcCurtainWall_168
IfcEnergyConversionDevice,H:\BIMCompNet\Metro\IfcCoil\6_IfcCoil_13
IfcWindow,H:\BIMCompNet\Malls\IfcWindow\5_IfcWindow_52
IfcRailing,H:\BIMCompNet\School\IfcRailing\11_IfcRailing_281
IfcFlowMovingDevice,H:\BIMCompNet\PublicBuilding\IfcFlowMovingDevice\9_IfcFlowMovingDevice_2
IfcColumn,H:\BIMCompNet\OfficeBuilding\IfcColumn\8_IfcColumn_4062
IfcDuctFitting,H:\BIMCompNet\Hospital\IfcDuctFitting\2_IfcDuctFitting_2025
IfcPipeFitting,H:\BIMCompNet\Theater\IfcPipeFitting\12_IfcPipeFitting_816
IfcFlowMovingDevice,H:\BIMCompNet\Hospital\IfcFlowMovingDevice\2_IfcFlowMovingDevice_6
IfcMember,H:\BIMCompNet\School\IfcMember\11_IfcMember_36
IfcFooting,H:\BIMCompNet\School\IfcFooting\11_IfcFooting_217
IfcCovering,H:\BIMCompNet\Metro\IfcCovering\6_IfcCovering_2794
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1945
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_815
IfcCovering,H:\BIMCompNet\EquipmentRoom\IfcCovering\0_IfcCovering_17
IfcDoor,H:\BIMCompNet\Hospital\IfcDoor\2_IfcDoor_332
IfcDuctFitting,H:\BIMCompNet\Metro\IfcDuctFitting\6_IfcDuctFitting_1928
IfcDamper,H:\BIMCompNet\Hospital\IfcDamper\2_IfcDamper_392
IfcDoor,H:\BIMCompNet\Hospital\IfcDoor\2_IfcDoor_75
IfcBeam,H:\BIMCompNet\PublicBuilding\IfcBeam\9_IfcBeam_20062
IfcStairFlight,H:\BIMCompNet\OfficeBuilding\IfcStairFlight\8_IfcStairFlight_1135
IfcRamp,H:\BIMCompNet\OfficeBuilding\IfcRamp\8_IfcRamp_185
IfcSanitaryTerminal,H:\BIMCompNet\Hospital\IfcSanitaryTerminal\2_IfcSanitaryTerminal_28
IfcSlab,H:\BIMCompNet\OfficeBuilding\IfcSlab\8_IfcSlab_10681
IfcPipeSegment,H:\BIMCompNet\FactoryBuilding\IfcPipeSegment\1_IfcPipeSegment_2854
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcEnergyConversionDevice\2_IfcEnergyConversionDevice_5
IfcPlate,H:\BIMCompNet\FactoryBuilding\IfcPlate\1_IfcPlate_149
IfcMember,H:\BIMCompNet\Hotels\IfcMember\3_IfcMember_146
IfcRamp,H:\BIMCompNet\Hospital\IfcRamp\2_IfcRamp_10
IfcWindow,H:\BIMCompNet\School\IfcWindow\11_IfcWindow_115
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_254
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_278
IfcColumn,H:\BIMCompNet\Theater\IfcColumn\12_IfcColumn_4405
IfcDuctSilencer,H:\BIMCompNet\FactoryBuilding\IfcDuctSilencer\1_IfcDuctSilencer_5
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_970
IfcDuctFitting,H:\BIMCompNet\Malls\IfcDuctFitting\5_IfcDuctFitting_1904
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_947
IfcWall,H:\BIMCompNet\ResidentialBuilding\IfcWall\10_IfcWall_949
IfcCableCarrierSegment,H:\BIMCompNet\Hospital\IfcCableCarrierSegment\2_IfcCableCarrierSegment_4309
IfcDoor,H:\BIMCompNet\ResidentialBuilding\IfcDoor\10_IfcDoor_35
IfcFooting,H:\BIMCompNet\School\IfcFooting\11_IfcFooting_0
IfcPipeFitting,H:\BIMCompNet\OfficeBuilding\IfcPipeFitting\8_IfcPipeFitting_3037
IfcFlowController,H:\BIMCompNet\EquipmentRoom\IfcFlowController\0_IfcFlowController_43
IfcValve,H:\BIMCompNet\PublicBuilding\IfcValve\9_IfcValve_113
IfcFlowController,H:\BIMCompNet\Metro\IfcFlowMeter\6_IfcFlowMeter_3
IfcEnergyConversionDevice,H:\BIMCompNet\Malls\IfcEnergyConversionDevice\5_IfcEnergyConversionDevice_204
IfcDamper,H:\BIMCompNet\Hotels\IfcDamper\3_IfcDamper_27
IfcDamper,H:\BIMCompNet\Metro\IfcDamper\6_IfcDamper_849
IfcValve,H:\BIMCompNet\OfficeBuilding\IfcValve\8_IfcValve_77
IfcSanitaryTerminal,H:\BIMCompNet\EquipmentRoom\IfcSanitaryTerminal\0_IfcSanitaryTerminal_0
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1025
IfcPlate,H:\BIMCompNet\Hospital\IfcPlate\2_IfcPlate_29
IfcPipeFitting,H:\BIMCompNet\Hospital\IfcPipeFitting\2_IfcPipeFitting_10726
IfcEnergyConversionDevice,H:\BIMCompNet\Hospital\IfcCoil\2_IfcCoil_123
IfcAirTerminal,H:\BIMCompNet\Metro\IfcAirTerminal\6_IfcAirTerminal_192
IfcElementComponent,H:\BIMCompNet\EquipmentRoom\IfcDiscreteAccessory\0_IfcDiscreteAccessory_1169
IfcStairFlight,H:\BIMCompNet\Theater\IfcStairFlight\12_IfcStairFlight_48
IfcMember,H:\BIMCompNet\PublicBuilding\IfcMember\9_IfcMember_190
IfcFlowController,H:\BIMCompNet\Metro\IfcFlowController\6_IfcFlowController_240
IfcWall,H:\BIMCompNet\Malls\IfcWall\5_IfcWall_3236
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_458
IfcDamper,H:\BIMCompNet\PublicBuilding\IfcDamper\9_IfcDamper_16
IfcDoor,H:\BIMCompNet\School\IfcDoor\11_IfcDoor_121
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_22863
IfcFooting,H:\BIMCompNet\OfficeBuilding\IfcFooting\8_IfcFooting_129
IfcRoof,H:\BIMCompNet\Museum\IfcRoof\7_IfcRoof_9
IfcEnergyConversionDevice,H:\BIMCompNet\Malls\IfcEnergyConversionDevice\5_IfcEnergyConversionDevice_222
IfcStairFlight,H:\BIMCompNet\Hospital\IfcStairFlight\2_IfcStairFlight_308
IfcMember,H:\BIMCompNet\OfficeBuilding\IfcMember\8_IfcMember_567
IfcDuctFitting,H:\BIMCompNet\PublicBuilding\IfcDuctFitting\9_IfcDuctFitting_2266
IfcDoor,H:\BIMCompNet\Metro\IfcDoor\6_IfcDoor_36
IfcRailing,H:\BIMCompNet\Metro\IfcRailing\6_IfcRailing_29
IfcCurtainWall,H:\BIMCompNet\Hospital\IfcCurtainWall\2_IfcCurtainWall_466
IfcBeam,H:\BIMCompNet\Malls\IfcBeam\5_IfcBeam_8013
IfcPipeSegment,H:\BIMCompNet\Malls\IfcPipeSegment\5_IfcPipeSegment_5342
IfcRamp,H:\BIMCompNet\OfficeBuilding\IfcRamp\8_IfcRamp_19
IfcCableCarrierFitting,H:\BIMCompNet\Metro\IfcCableCarrierFitting\6_IfcCableCarrierFitting_1099
IfcCurtainWall,H:\BIMCompNet\OfficeBuilding\IfcCurtainWall\8_IfcCurtainWall_438
IfcAirTerminal,H:\BIMCompNet\Hospital\IfcAirTerminal\2_IfcAirTerminal_78
IfcRamp,H:\BIMCompNet\Hospital\IfcRamp\2_IfcRamp_47
IfcFooting,H:\BIMCompNet\Malls\IfcFooting\5_IfcFooting_5
IfcRoof,H:\BIMCompNet\Layout\IfcRoof\4_IfcRoof_99
IfcStairFlight,H:\BIMCompNet\Villa\IfcStairFlight\13_IfcStairFlight_84
IfcWall,H:\BIMCompNet\Metro\IfcWall\6_IfcWall_3959
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_597
IfcEnergyConversionDevice,H:\BIMCompNet\Malls\IfcEnergyConversionDevice\5_IfcEnergyConversionDevice_211
IfcPlate,H:\BIMCompNet\OfficeBuilding\IfcPlate\8_IfcPlate_45
IfcDuctSegment,H:\BIMCompNet\Theater\IfcDuctSegment\12_IfcDuctSegment_2987
IfcPlate,H:\BIMCompNet\Metro\IfcPlate\6_IfcPlate_75
IfcColumn,H:\BIMCompNet\FactoryBuilding\IfcColumn\1_IfcColumn_295
IfcRailing,H:\BIMCompNet\Theater\IfcRailing\12_IfcRailing_118
IfcFooting,H:\BIMCompNet\PublicBuilding\IfcFooting\9_IfcFooting_4
IfcRailing,H:\BIMCompNet\Hospital\IfcRailing\2_IfcRailing_194
IfcCableCarrierFitting,H:\BIMCompNet\School\IfcCableCarrierFitting\11_IfcCableCarrierFitting_193
IfcCableCarrierFitting,H:\BIMCompNet\Hospital\IfcCableCarrierFitting\2_IfcCableCarrierFitting_2447
IfcSanitaryTerminal,H:\BIMCompNet\Malls\IfcSanitaryTerminal\5_IfcSanitaryTerminal_96
IfcAirTerminal,H:\BIMCompNet\Metro\IfcAirTerminal\6_IfcAirTerminal_364
IfcColumn,H:\BIMCompNet\School\IfcColumn\11_IfcColumn_679
IfcPlate,H:\BIMCompNet\Metro\IfcPlate\6_IfcPlate_218
IfcRailing,H:\BIMCompNet\OfficeBuilding\IfcRailing\8_IfcRailing_1136
